Case_ID,Work_Order_ID,Account_ID,Site_Name,Case_Type,Priority,Status,Engineer_Assigned,Open_Date,Close_Date,Resolution_Time_Hours,SLA_Status,Curtailed_kWh,Revenue_Leakage_EUR,Resolution_Code,County
CASE-00143,WO-00143,ACC-017,Wicklow Solar Park,Inverter Failure,Medium,Open,Niamh Walsh,2025-04-24 00:00:00,,,Breached,0.0,0.0,,South
CASE-00144,WO-00144,ACC-004,South Dublin Wind Site,Meter Reading Issue,Medium,In Progress,Seán O'Brien,2024-03-18 00:00:00,,,Breached,0.0,0.0,,Kildare
CASE-00145,WO-00145,ACC-010,Fingal Wind Farm,Grid Curtailment Complaint,Low,In Progress,Ciarán Murphy,2024-05-24 00:00:00,,,Breached,0.0,0.0,,Wicklow
CASE-00146,WO-00146,ACC-017,Kildare Solar Park,Maintenance Request,Medium,Closed,Declan Ryan,2024-08-19 00:00:00,2024-08-20 21:42:30,45.71,Breached,188.19,16.0,Grid Reconnected,Fingal
CASE-00147,WO-00147,ACC-020,Wicklow Solar Park,Turbine Fault,High,Closed,Declan Ryan,2025-02-10 00:00:00,2025-02-10 08:58:01,8.97,Breached,0.0,0.0,Pending Investigation,Kildare
CASE-00148,WO-00148,ACC-007,Fingal Wind Farm,Grid Curtailment Complaint,High,Open,Ciarán Murphy,2025-01-09 00:00:00,,,Breached,0.0,0.0,,Meath
CASE-00149,WO-00149,ACC-005,Meath Wind Farm,Turbine Fault,Low,Closed,Seán O'Brien,2024-04-02 00:00:00,2024-04-09 03:59:42,172.0,Breached,0.0,0.0,Firmware Updated,Meath
CASE-00150,WO-00150,ACC-012,Kildare Solar Park,Turbine Fault,High,Escalated,Aoife Kelly,2025-02-08 00:00:00,,,Breached,0.0,0.0,,Wicklow
CASE-00151,WO-00151,ACC-006,Wicklow Solar Park,Inverter Failure,Medium,Closed,Ciarán Murphy,2024-01-15 00:00:00,2024-01-16 12:25:33,36.43,Breached,561.78,47.75,Firmware Updated,Fingal
CASE-00152,WO-00152,ACC-018,South Dublin Wind Site,Sensor Dropout,High,Closed,Declan Ryan,2024-09-27 00:00:00,2024-09-27 12:10:09,12.17,Breached,0.0,0.0,,Wicklow
CASE-00153,WO-00153,ACC-017,Wicklow Solar Park,Meter Reading Issue,High,Closed,Aoife Kelly,2024-05-06 00:00:00,2024-05-06 04:34:08,4.57,Within SLA,0.0,0.0,Meter Recalibrated,Kildare
CASE-00154,WO-00154,ACC-001,Fingal Wind Farm,Maintenance Request,High,Open,Declan Ryan,2025-04-10 00:00:00,,,Breached,0.0,0.0,,Wicklow
CASE-00155,WO-00155,ACC-020,Meath Wind Farm,Safety Inspection,Medium,Closed,Sinéad Byrne,2025-01-12 00:00:00,2025-01-12 07:27:56,7.47,Within SLA,315.41,26.81,Inverter Repaired,Kildare
CASE-00156,WO-00156,ACC-011,Wicklow Solar Park,Grid Curtailment Complaint,Medium,In Progress,Declan Ryan,2024-09-25 00:00:00,,,Breached,0.0,0.0,,Fingal
CASE-00157,WO-00157,ACC-016,South Dublin Wind Site,Sensor Dropout,Medium,Closed,Niamh Walsh,2025-01-25 00:00:00,2025-01-26 14:42:12,38.7,Breached,0.0,0.0,Pending Investigation,Wicklow
CASE-00158,WO-00158,ACC-001,Meath Wind Farm,Grid Curtailment Complaint,Medium,Closed,Declan Ryan,2025-01-15 00:00:00,2025-01-16 11:33:41,35.56,Breached,254.5,21.63,Grid Reconnected,Meath
CASE-00159,WO-00159,ACC-004,Wicklow Solar Park,Safety Inspection,Medium,Open,Sinéad Byrne,2024-04-20 00:00:00,,,Breached,306.23,26.03,,Fingal
CASE-00160,WO-00160,ACC-012,Kildare Solar Park,Panel Soiling,Medium,Closed,Seán O'Brien,2024-08-27 00:00:00,2024-08-29 09:12:01,57.2,Breached,0.0,0.0,,Wicklow
CASE-00161,WO-00161,ACC-010,Meath Wind Farm,Meter Reading Issue,Medium,In Progress,Aoife Kelly,2025-04-27 00:00:00,,,Breached,0.0,0.0,,Wicklow
CASE-00162,WO-00162,ACC-008,Wicklow Solar Park,Meter Reading Issue,High,Closed,Ciarán Murphy,2024-01-26 00:00:00,2024-01-26 07:45:45,7.76,Within SLA,305.25,25.95,Panel Cleaned,Kildare
CASE-00163,WO-00163,ACC-002,South Dublin Wind Site,Sensor Dropout,High,Closed,Ciarán Murphy,2024-12-01 00:00:00,2024-12-01 15:34:12,15.57,Breached,0.0,0.0,Sensor Replaced,South
CASE-00164,WO-00164,ACC-008,Fingal Wind Farm,Panel Soiling,Low,In Progress,Declan Ryan,2024-08-14 00:00:00,,,Breached,436.1,37.07,,South
CASE-00165,WO-00165,ACC-019,South Dublin Wind Site,Inverter Failure,Low,Closed,Declan Ryan,2024-03-05 00:00:00,2024-03-11 20:43:18,164.72,Breached,0.0,0.0,Panel Cleaned,Wicklow
CASE-00166,WO-00166,ACC-003,Kildare Solar Park,Turbine Fault,Critical,Closed,Sinéad Byrne,2025-04-20 00:00:00,2025-04-20 04:13:33,4.23,Breached,0.0,0.0,Grid Reconnected,Wicklow
CASE-00167,WO-00167,ACC-003,Fingal Wind Farm,Turbine Fault,Medium,Open,Seán O'Brien,2024-11-05 00:00:00,,,Breached,0.0,0.0,,Kildare
CASE-00168,WO-00168,ACC-016,Meath Wind Farm,Turbine Fault,Medium,Closed,Aoife Kelly,2025-02-22 00:00:00,2025-02-23 04:59:17,28.99,Breached,0.0,0.0,Scheduled Maintenance Done,Fingal
CASE-00169,WO-00169,ACC-003,Kildare Solar Park,Safety Inspection,Critical,Closed,Ciarán Murphy,2024-04-29 00:00:00,2024-04-29 06:53:03,6.88,Breached,0.0,0.0,,Meath
CASE-00170,WO-00170,ACC-018,South Dublin Wind Site,Maintenance Request,Medium,Closed,Seán O'Brien,2024-05-23 00:00:00,2024-05-24 10:15:46,34.26,Breached,529.99,45.05,Inverter Repaired,Fingal
CASE-00171,WO-00171,ACC-005,Meath Wind Farm,Inverter Failure,Critical,Closed,Sinéad Byrne,2024-02-16 00:00:00,2024-02-16 02:36:59,2.62,Within SLA,0.0,0.0,,South
CASE-00172,WO-00172,ACC-005,Wicklow Solar Park,Meter Reading Issue,Medium,Open,Seán O'Brien,2024-02-08 00:00:00,,,Breached,0.0,0.0,,Fingal
CASE-00173,WO-00173,ACC-016,Wicklow Solar Park,Meter Reading Issue,Medium,Closed,Aoife Kelly,2024-11-07 00:00:00,2024-11-07 18:51:27,18.86,Within SLA,0.0,0.0,Meter Recalibrated,South
CASE-00174,WO-00174,ACC-018,Fingal Wind Farm,Sensor Dropout,Medium,Closed,Declan Ryan,2025-05-19 00:00:00,2025-05-21 03:16:28,51.27,Breached,0.0,0.0,Meter Recalibrated,Meath
CASE-00175,WO-00175,ACC-006,South Dublin Wind Site,Meter Reading Issue,High,Closed,Aoife Kelly,2024-04-28 00:00:00,2024-04-28 05:49:12,5.82,Within SLA,0.0,0.0,Pending Investigation,Meath
CASE-00176,WO-00176,ACC-009,Wicklow Solar Park,Maintenance Request,High,Closed,Sinéad Byrne,2024-04-09 00:00:00,2024-04-09 05:35:30,5.59,Within SLA,0.0,0.0,Firmware Updated,Fingal
CASE-00177,WO-00177,ACC-017,Fingal Wind Farm,Inverter Failure,Medium,Open,Declan Ryan,2024-08-28 00:00:00,,,Breached,0.0,0.0,,Meath
CASE-00178,WO-00178,ACC-020,South Dublin Wind Site,Panel Soiling,High,Closed,Declan Ryan,2024-05-18 00:00:00,2024-05-18 16:28:26,16.47,Breached,0.0,0.0,Scheduled Maintenance Done,South
CASE-00179,WO-00179,ACC-014,Wicklow Solar Park,Sensor Dropout,High,Closed,Aoife Kelly,2025-02-01 00:00:00,2025-02-01 17:23:58,17.4,Breached,0.0,0.0,Firmware Updated,Fingal
CASE-00180,WO-00180,ACC-007,South Dublin Wind Site,Sensor Dropout,Medium,Escalated,Aoife Kelly,2025-04-09 00:00:00,,,Breached,379.9,32.29,,Meath
CASE-00181,WO-00181,ACC-018,Fingal Wind Farm,Turbine Fault,Critical,In Progress,Seán O'Brien,2025-01-14 00:00:00,,,Breached,0.0,0.0,,South
CASE-00182,WO-00182,ACC-007,Kildare Solar Park,Inverter Failure,Medium,Escalated,Ciarán Murphy,2025-03-05 00:00:00,,,Breached,0.0,0.0,,Fingal
CASE-00183,WO-00183,ACC-010,Wicklow Solar Park,Inverter Failure,Low,Open,Aoife Kelly,2024-06-07 00:00:00,,,Breached,150.58,12.8,,Kildare
CASE-00184,WO-00184,ACC-013,Kildare Solar Park,Meter Reading Issue,Medium,In Progress,Niamh Walsh,2025-02-28 00:00:00,,,Breached,0.0,0.0,,South
CASE-00185,WO-00185,ACC-012,Fingal Wind Farm,Safety Inspection,Medium,In Progress,Aoife Kelly,2024-04-11 00:00:00,,,Breached,307.68,26.15,,Meath
CASE-00186,WO-00186,ACC-015,Meath Wind Farm,Sensor Dropout,Medium,Escalated,Aoife Kelly,2025-05-16 00:00:00,,,Breached,739.59,62.87,,Meath
CASE-00187,WO-00187,ACC-017,Fingal Wind Farm,Maintenance Request,Critical,Open,Niamh Walsh,2025-02-21 00:00:00,,,Breached,671.97,57.12,,Fingal
CASE-00188,WO-00188,ACC-015,Wicklow Solar Park,Grid Curtailment Complaint,Medium,Closed,Sinéad Byrne,2024-10-13 00:00:00,2024-10-15 04:09:11,52.15,Breached,123.41,10.49,Pending Investigation,Kildare
CASE-00189,WO-00189,ACC-004,Kildare Solar Park,Inverter Failure,Low,In Progress,Ciarán Murphy,2024-02-03 00:00:00,,,Breached,797.96,67.83,,Kildare
CASE-00190,WO-00190,ACC-008,South Dublin Wind Site,Grid Curtailment Complaint,Medium,Open,Aoife Kelly,2025-01-14 00:00:00,,,Breached,536.05,45.56,,South
CASE-00191,WO-00191,ACC-008,Kildare Solar Park,Maintenance Request,Medium,Closed,Seán O'Brien,2024-08-10 00:00:00,2024-08-12 08:25:44,56.43,Breached,107.42,9.13,Scheduled Maintenance Done,South
CASE-00192,WO-00192,ACC-003,Fingal Wind Farm,Turbine Fault,Low,Closed,Aoife Kelly,2025-03-30 00:00:00,2025-04-06 11:05:57,179.1,Breached,0.0,0.0,,Meath
CASE-00193,WO-00193,ACC-011,Meath Wind Farm,Turbine Fault,Medium,Closed,Seán O'Brien,2025-03-31 00:00:00,2025-04-01 07:33:17,31.55,Breached,0.0,0.0,,Fingal
CASE-00194,WO-00194,ACC-001,South Dublin Wind Site,Meter Reading Issue,Medium,In Progress,Aoife Kelly,2024-08-29 00:00:00,,,Breached,0.0,0.0,,South
CASE-00195,WO-00195,ACC-019,Meath Wind Farm,Meter Reading Issue,Critical,Open,Seán O'Brien,2025-01-06 00:00:00,,,Breached,57.4,4.88,,Fingal
CASE-00196,WO-00196,ACC-018,South Dublin Wind Site,Safety Inspection,High,Closed,Seán O'Brien,2024-04-11 00:00:00,2024-04-11 12:04:26,12.07,Breached,12.57,1.07,Sensor Replaced,South
CASE-00197,WO-00197,ACC-008,Kildare Solar Park,Maintenance Request,Critical,Closed,Ciarán Murphy,2025-01-11 00:00:00,2025-01-11 03:45:27,3.76,Within SLA,0.0,0.0,Panel Cleaned,Meath
CASE-00198,WO-00198,ACC-019,Wicklow Solar Park,Meter Reading Issue,Low,Closed,Declan Ryan,2025-01-02 00:00:00,2025-01-03 08:16:12,32.27,Within SLA,0.0,0.0,Inverter Repaired,South
CASE-00199,WO-00199,ACC-008,Kildare Solar Park,Grid Curtailment Complaint,Low,Closed,Niamh Walsh,2024-03-03 00:00:00,2024-03-04 13:09:18,37.16,Within SLA,0.0,0.0,Panel Cleaned,Wicklow
CASE-00200,WO-00200,ACC-001,Kildare Solar Park,Grid Curtailment Complaint,Critical,Closed,Seán O'Brien,2025-02-11 00:00:00,2025-02-11 07:35:06,7.59,Breached,0.0,0.0,Inverter Repaired,Wicklow
CASE-00201,WO-00201,ACC-003,Kildare Solar Park,Panel Soiling,Low,Closed,Ciarán Murphy,2024-10-09 00:00:00,2024-10-13 02:46:15,98.77,Breached,0.0,0.0,Sensor Replaced,Meath
CASE-00202,WO-00202,ACC-002,Wicklow Solar Park,Sensor Dropout,Critical,In Progress,Aoife Kelly,2024-07-13 00:00:00,,,Breached,0.0,0.0,,Meath
CASE-00203,WO-00203,ACC-008,Kildare Solar Park,Sensor Dropout,Medium,Closed,Aoife Kelly,2024-05-05 00:00:00,2024-05-06 00:40:08,24.67,Breached,0.0,0.0,Sensor Replaced,Kildare
CASE-00204,WO-00204,ACC-003,Fingal Wind Farm,Grid Curtailment Complaint,Low,In Progress,Niamh Walsh,2025-04-10 00:00:00,,,Breached,0.0,0.0,,Meath
CASE-00205,WO-00205,ACC-002,Kildare Solar Park,Grid Curtailment Complaint,Low,Open,Sinéad Byrne,2024-04-03 00:00:00,,,Breached,0.0,0.0,,Meath
CASE-00206,WO-00206,ACC-011,Meath Wind Farm,Meter Reading Issue,Low,In Progress,Ciarán Murphy,2024-08-05 00:00:00,,,Breached,0.0,0.0,,Wicklow
CASE-00207,WO-00207,ACC-003,Meath Wind Farm,Maintenance Request,Medium,Open,Niamh Walsh,2024-01-22 00:00:00,,,Breached,577.07,49.05,,Fingal
CASE-00208,WO-00208,ACC-017,Fingal Wind Farm,Sensor Dropout,Medium,Open,Sinéad Byrne,2024-02-21 00:00:00,,,Breached,0.0,0.0,,Fingal
CASE-00209,WO-00209,ACC-008,Wicklow Solar Park,Meter Reading Issue,Low,Closed,Sinéad Byrne,2024-12-07 00:00:00,2024-12-08 17:54:33,41.91,Within SLA,389.36,33.1,Grid Reconnected,Meath
CASE-00210,WO-00210,ACC-009,Wicklow Solar Park,Grid Curtailment Complaint,Medium,Closed,Aoife Kelly,2024-09-06 00:00:00,2024-09-07 17:48:32,41.81,Breached,0.0,0.0,Scheduled Maintenance Done,Fingal
CASE-00211,WO-00211,ACC-016,Meath Wind Farm,Sensor Dropout,Low,Closed,Sinéad Byrne,2024-05-08 00:00:00,2024-05-09 13:26:49,37.45,Within SLA,349.39,29.7,Pending Investigation,Meath
CASE-00212,WO-00212,ACC-007,Kildare Solar Park,Panel Soiling,Low,Closed,Niamh Walsh,2024-07-29 00:00:00,2024-08-02 23:43:52,119.73,Breached,0.0,0.0,,Meath
CASE-00213,WO-00213,ACC-018,Wicklow Solar Park,Turbine Fault,Medium,Open,Sinéad Byrne,2024-03-11 00:00:00,,,Breached,0.0,0.0,,Kildare
CASE-00214,WO-00214,ACC-005,Wicklow Solar Park,Safety Inspection,Medium,Closed,Declan Ryan,2024-07-31 00:00:00,2024-08-02 06:43:34,54.73,Breached,0.0,0.0,,South
CASE-00215,WO-00215,ACC-019,South Dublin Wind Site,Sensor Dropout,Medium,Closed,Declan Ryan,2024-08-09 00:00:00,2024-08-09 23:58:44,23.98,Within SLA,792.17,67.33,Firmware Updated,Wicklow
CASE-00216,WO-00216,ACC-019,South Dublin Wind Site,Sensor Dropout,Medium,Closed,Sinéad Byrne,2024-08-26 00:00:00,2024-08-27 06:59:38,30.99,Breached,0.0,0.0,Panel Cleaned,Meath
CASE-00217,WO-00217,ACC-016,South Dublin Wind Site,Sensor Dropout,Medium,Closed,Declan Ryan,2024-12-02 00:00:00,2024-12-03 15:44:34,39.74,Breached,67.73,5.76,Pending Investigation,Kildare
CASE-00218,WO-00218,ACC-008,Fingal Wind Farm,Safety Inspection,High,In Progress,Aoife Kelly,2024-05-31 00:00:00,,,Breached,0.0,0.0,,Wicklow
CASE-00219,WO-00219,ACC-016,South Dublin Wind Site,Panel Soiling,High,Closed,Niamh Walsh,2024-01-03 00:00:00,2024-01-03 07:46:47,7.78,Within SLA,0.0,0.0,,South
CASE-00220,WO-00220,ACC-014,Meath Wind Farm,Meter Reading Issue,Medium,Open,Sinéad Byrne,2024-10-10 00:00:00,,,Breached,0.0,0.0,,South
CASE-00221,WO-00221,ACC-007,Fingal Wind Farm,Turbine Fault,Medium,In Progress,Aoife Kelly,2024-05-28 00:00:00,,,Breached,513.79,43.67,,South
CASE-00222,WO-00222,ACC-004,South Dublin Wind Site,Panel Soiling,Medium,Closed,Sinéad Byrne,2024-05-13 00:00:00,2024-05-14 14:02:39,38.04,Breached,0.0,0.0,Scheduled Maintenance Done,South
CASE-00223,WO-00223,ACC-004,Kildare Solar Park,Inverter Failure,High,Open,Seán O'Brien,2024-09-13 00:00:00,,,Breached,0.0,0.0,,Fingal
CASE-00224,WO-00224,ACC-014,South Dublin Wind Site,Panel Soiling,Critical,Closed,Seán O'Brien,2024-06-27 00:00:00,2024-06-27 06:10:36,6.18,Breached,332.68,28.28,,Wicklow
CASE-00225,WO-00225,ACC-012,Fingal Wind Farm,Inverter Failure,Critical,Closed,Niamh Walsh,2024-04-22 00:00:00,2024-04-22 04:24:27,4.41,Breached,0.0,0.0,Scheduled Maintenance Done,Wicklow
CASE-00226,WO-00226,ACC-014,Kildare Solar Park,Inverter Failure,High,Closed,Niamh Walsh,2024-01-27 00:00:00,2024-01-27 07:58:02,7.97,Within SLA,0.0,0.0,Scheduled Maintenance Done,Meath
CASE-00227,WO-00227,ACC-014,Wicklow Solar Park,Safety Inspection,Medium,In Progress,Seán O'Brien,2024-05-14 00:00:00,,,Breached,0.0,0.0,,Meath
CASE-00228,WO-00228,ACC-015,Meath Wind Farm,Panel Soiling,Medium,Closed,Niamh Walsh,2024-01-16 00:00:00,2024-01-17 05:48:52,29.81,Breached,0.0,0.0,Inverter Repaired,Wicklow
CASE-00229,WO-00229,ACC-002,South Dublin Wind Site,Grid Curtailment Complaint,Medium,Closed,Aoife Kelly,2025-01-01 00:00:00,2025-01-01 07:27:18,7.46,Within SLA,0.0,0.0,Grid Reconnected,South
CASE-00230,WO-00230,ACC-004,Meath Wind Farm,Maintenance Request,Low,Open,Niamh Walsh,2024-08-31 00:00:00,,,Breached,0.0,0.0,,Fingal
CASE-00231,WO-00231,ACC-002,Wicklow Solar Park,Meter Reading Issue,High,Closed,Sinéad Byrne,2024-11-27 00:00:00,2024-11-27 06:43:57,6.73,Within SLA,364.82,31.01,Panel Cleaned,Meath
CASE-00232,WO-00232,ACC-013,Kildare Solar Park,Inverter Failure,High,Closed,Aoife Kelly,2024-01-17 00:00:00,2024-01-17 06:17:55,6.3,Within SLA,0.0,0.0,Sensor Replaced,Meath
CASE-00233,WO-00233,ACC-011,South Dublin Wind Site,Panel Soiling,High,Closed,Niamh Walsh,2024-06-27 00:00:00,2024-06-27 15:25:14,15.42,Breached,631.14,53.65,Panel Cleaned,Fingal
CASE-00234,WO-00234,ACC-004,Meath Wind Farm,Meter Reading Issue,Low,In Progress,Sinéad Byrne,2024-09-28 00:00:00,,,Breached,0.0,0.0,,Kildare
CASE-00235,WO-00235,ACC-008,Fingal Wind Farm,Safety Inspection,Medium,Closed,Aoife Kelly,2024-02-23 00:00:00,2024-02-24 06:13:38,30.23,Breached,0.0,0.0,Grid Reconnected,Meath
CASE-00236,WO-00236,ACC-007,Kildare Solar Park,Maintenance Request,High,Closed,Declan Ryan,2024-05-09 00:00:00,2024-05-09 17:11:09,17.19,Breached,483.54,41.1,Sensor Replaced,Kildare
CASE-00237,WO-00237,ACC-007,Meath Wind Farm,Meter Reading Issue,Low,Open,Declan Ryan,2025-03-07 00:00:00,,,Breached,0.0,0.0,,Meath
CASE-00238,WO-00238,ACC-018,Wicklow Solar Park,Meter Reading Issue,Medium,Closed,Niamh Walsh,2025-06-22 00:00:00,2025-06-22 14:17:28,14.29,Within SLA,0.0,0.0,,Kildare
CASE-00239,WO-00239,ACC-015,Kildare Solar Park,Maintenance Request,Low,In Progress,Ciarán Murphy,2024-04-26 00:00:00,,,Breached,340.56,28.95,,Fingal
CASE-00240,WO-00240,ACC-005,Fingal Wind Farm,Maintenance Request,Low,Closed,Seán O'Brien,2024-03-06 00:00:00,2024-03-11 17:42:10,137.7,Breached,143.84,12.23,Pending Investigation,Meath
CASE-00241,WO-00241,ACC-014,South Dublin Wind Site,Maintenance Request,Critical,Open,Aoife Kelly,2025-05-02 00:00:00,,,Breached,0.0,0.0,,Fingal
CASE-00242,WO-00242,ACC-006,Kildare Solar Park,Grid Curtailment Complaint,High,Closed,Ciarán Murphy,2025-04-04 00:00:00,2025-04-04 17:51:02,17.85,Breached,0.0,0.0,,South
CASE-00243,WO-00243,ACC-009,South Dublin Wind Site,Panel Soiling,High,Open,Aoife Kelly,2025-01-05 00:00:00,,,Breached,407.53,34.64,,South
CASE-00244,WO-00244,ACC-015,Wicklow Solar Park,Meter Reading Issue,Critical,Closed,Ciarán Murphy,2025-06-09 00:00:00,2025-06-09 05:16:23,5.27,Breached,0.0,0.0,,Meath
CASE-00245,WO-00245,ACC-008,Meath Wind Farm,Meter Reading Issue,Medium,Closed,Sinéad Byrne,2024-04-21 00:00:00,2024-04-22 02:08:29,26.14,Breached,441.64,37.54,Inverter Repaired,South
CASE-00246,WO-00246,ACC-003,Kildare Solar Park,Inverter Failure,Medium,Closed,Niamh Walsh,2025-04-07 00:00:00,2025-04-07 23:19:44,23.33,Within SLA,0.0,0.0,Inverter Repaired,Wicklow
CASE-00247,WO-00247,ACC-015,Wicklow Solar Park,Inverter Failure,Critical,In Progress,Sinéad Byrne,2025-05-30 00:00:00,,,Breached,360.04,30.6,,Wicklow
CASE-00248,WO-00248,ACC-018,Kildare Solar Park,Grid Curtailment Complaint,Medium,In Progress,Declan Ryan,2024-08-14 00:00:00,,,Breached,284.25,24.16,,Fingal
CASE-00249,WO-00249,ACC-004,Meath Wind Farm,Turbine Fault,Medium,In Progress,Aoife Kelly,2024-02-14 00:00:00,,,Breached,0.0,0.0,,Kildare
CASE-00250,WO-00250,ACC-002,Wicklow Solar Park,Sensor Dropout,High,Open,Aoife Kelly,2025-06-17 00:00:00,,,Breached,0.0,0.0,,Kildare
CASE-00251,WO-00251,ACC-018,South Dublin Wind Site,Safety Inspection,High,In Progress,Niamh Walsh,2024-11-04 00:00:00,,,Breached,148.63,12.63,,Kildare
CASE-00252,WO-00252,ACC-001,Meath Wind Farm,Panel Soiling,Low,Open,Declan Ryan,2025-04-14 00:00:00,,,Breached,0.0,0.0,,South
CASE-00253,WO-00253,ACC-003,Kildare Solar Park,Inverter Failure,Critical,Open,Niamh Walsh,2024-02-01 00:00:00,,,Breached,483.66,41.11,,Kildare
CASE-00254,WO-00254,ACC-008,Fingal Wind Farm,Turbine Fault,Medium,In Progress,Sinéad Byrne,2024-03-03 00:00:00,,,Breached,462.35,39.3,,South
CASE-00255,WO-00255,ACC-006,Wicklow Solar Park,Turbine Fault,High,Closed,Niamh Walsh,2025-05-05 00:00:00,2025-05-05 12:06:33,12.11,Breached,677.44,57.58,Grid Reconnected,Wicklow
CASE-00256,WO-00256,ACC-014,Fingal Wind Farm,Safety Inspection,Low,Closed,Aoife Kelly,2025-02-15 00:00:00,2025-02-17 01:26:31,49.44,Within SLA,189.4,16.1,Inverter Repaired,Meath
CASE-00257,WO-00257,ACC-016,Kildare Solar Park,Panel Soiling,Medium,Closed,Ciarán Murphy,2025-03-12 00:00:00,2025-03-13 15:13:47,39.23,Breached,0.0,0.0,Inverter Repaired,Kildare
CASE-00258,WO-00258,ACC-016,Meath Wind Farm,Inverter Failure,High,Escalated,Sinéad Byrne,2024-04-20 00:00:00,,,Breached,0.0,0.0,,South
CASE-00259,WO-00259,ACC-007,South Dublin Wind Site,Maintenance Request,Medium,In Progress,Aoife Kelly,2025-05-17 00:00:00,,,Breached,0.0,0.0,,Meath
CASE-00260,WO-00260,ACC-013,Wicklow Solar Park,Safety Inspection,Medium,Escalated,Aoife Kelly,2025-03-30 00:00:00,,,Breached,401.38,34.12,,Fingal
CASE-00261,WO-00261,ACC-002,Fingal Wind Farm,Turbine Fault,High,Open,Niamh Walsh,2024-03-16 00:00:00,,,Breached,0.0,0.0,,Fingal
CASE-00262,WO-00262,ACC-006,Kildare Solar Park,Turbine Fault,High,Escalated,Sinéad Byrne,2024-03-23 00:00:00,,,Breached,0.0,0.0,,Kildare
CASE-00263,WO-00263,ACC-013,Meath Wind Farm,Sensor Dropout,High,Closed,Niamh Walsh,2024-11-25 00:00:00,2024-11-25 17:12:56,17.22,Breached,0.0,0.0,,South
CASE-00264,WO-00264,ACC-001,Fingal Wind Farm,Grid Curtailment Complaint,Medium,Closed,Aoife Kelly,2024-05-31 00:00:00,2024-06-02 04:32:24,52.54,Breached,328.67,27.94,Firmware Updated,South
CASE-00265,WO-00265,ACC-013,South Dublin Wind Site,Turbine Fault,High,Closed,Declan Ryan,2024-03-08 00:00:00,2024-03-08 04:51:50,4.86,Within SLA,436.93,37.14,Panel Cleaned,Meath
CASE-00266,WO-00266,ACC-009,Wicklow Solar Park,Inverter Failure,High,Open,Declan Ryan,2024-05-09 00:00:00,,,Breached,0.0,0.0,,Kildare
CASE-00267,WO-00267,ACC-015,Kildare Solar Park,Panel Soiling,Critical,Open,Niamh Walsh,2024-10-08 00:00:00,,,Breached,0.0,0.0,,South
CASE-00268,WO-00268,ACC-010,South Dublin Wind Site,Panel Soiling,Low,Closed,Seán O'Brien,2024-11-28 00:00:00,2024-12-02 10:55:01,106.92,Breached,0.0,0.0,Grid Reconnected,South
CASE-00269,WO-00269,ACC-014,South Dublin Wind Site,Panel Soiling,Low,In Progress,Aoife Kelly,2025-01-25 00:00:00,,,Breached,0.0,0.0,,Kildare
CASE-00270,WO-00270,ACC-018,Wicklow Solar Park,Turbine Fault,Low,In Progress,Seán O'Brien,2025-06-27 00:00:00,,,Within SLA,0.0,0.0,,South
CASE-00271,WO-00271,ACC-016,Wicklow Solar Park,Safety Inspection,Medium,Closed,Ciarán Murphy,2024-10-28 00:00:00,2024-10-28 21:05:55,21.1,Within SLA,293.58,24.95,Sensor Replaced,Fingal
CASE-00272,WO-00272,ACC-005,Fingal Wind Farm,Panel Soiling,Medium,Open,Sinéad Byrne,2025-04-09 00:00:00,,,Breached,0.0,0.0,,Wicklow
CASE-00273,WO-00273,ACC-007,Kildare Solar Park,Inverter Failure,Medium,Open,Ciarán Murphy,2025-06-01 00:00:00,,,Breached,0.0,0.0,,South
CASE-00274,WO-00274,ACC-010,Fingal Wind Farm,Meter Reading Issue,Low,In Progress,Aoife Kelly,2025-03-16 00:00:00,,,Breached,782.59,66.52,,South
CASE-00275,WO-00275,ACC-007,Kildare Solar Park,Grid Curtailment Complaint,Low,Closed,Niamh Walsh,2024-04-11 00:00:00,2024-04-17 17:59:44,162.0,Breached,0.0,0.0,,Meath
CASE-00276,WO-00276,ACC-002,Fingal Wind Farm,Meter Reading Issue,Medium,Escalated,Ciarán Murphy,2024-04-27 00:00:00,,,Breached,0.0,0.0,,Fingal
CASE-00277,WO-00277,ACC-019,Kildare Solar Park,Meter Reading Issue,Low,Closed,Aoife Kelly,2024-08-08 00:00:00,2024-08-09 09:42:41,33.71,Within SLA,0.0,0.0,Grid Reconnected,Wicklow
CASE-00278,WO-00278,ACC-018,Fingal Wind Farm,Safety Inspection,High,Open,Ciarán Murphy,2025-03-16 00:00:00,,,Breached,0.0,0.0,,South
CASE-00279,WO-00279,ACC-002,Meath Wind Farm,Sensor Dropout,Medium,Closed,Niamh Walsh,2025-04-07 00:00:00,2025-04-07 11:10:52,11.18,Within SLA,0.0,0.0,Inverter Repaired,Fingal
CASE-00280,WO-00280,ACC-011,Fingal Wind Farm,Sensor Dropout,High,Closed,Declan Ryan,2024-08-21 00:00:00,2024-08-21 02:43:40,2.73,Within SLA,454.52,38.63,Sensor Replaced,South
CASE-00281,WO-00281,ACC-002,Kildare Solar Park,Maintenance Request,Medium,Escalated,Sinéad Byrne,2025-02-27 00:00:00,,,Breached,563.91,47.93,,Meath
CASE-00282,WO-00282,ACC-002,Kildare Solar Park,Turbine Fault,Low,Open,Aoife Kelly,2024-12-13 00:00:00,,,Breached,0.0,0.0,,Meath
